task,trial,score,n_pages,n_matched_avg,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
auth_glassy-001,auth_glassy-001__CLkSoXc,0.7788903461073643,6.0,54.0,0.9047850706669918,0.9985986468341991,0.6014992290512343,0.8135144293485909,0.9793232129841609,0.8390399839019386,0.964797750346535,0.6356522646261898,0.5720800572715515
auth_glassy-001,auth_glassy-001__EXjZKAz,0.8346948532926296,6.0,56.0,0.8496258805911112,0.9992247087719632,0.9169829155082422,0.8106354343350822,0.9763798591432239,0.8397917938488701,0.9987725725381377,0.6271936479073402,0.7259295008213537
auth_glassy-001,auth_glassy-001__Ehkfcs6,0.8338265697619751,6.0,55.333333333333336,0.9183090552287484,0.9980761366566392,0.8732357013462689,0.8001340876960286,0.969954060734759,0.8426045488467432,0.9669854794601601,0.6177155127581259,0.7440425286373938
auth_glassy-001,auth_glassy-001__M8zNKE6,0.8039141442556509,6.0,54.333333333333336,0.8101504212498174,0.9826062133575381,0.9278057655265602,0.9655955738477995,0.9546560130423406,0.797592025702758,0.9496429968478984,0.47236590450720267,0.7135065499517518
auth_glassy-001,auth_glassy-001__PEMFUqo,0.8136250293724285,6.0,53.0,0.7849509152092784,0.9824258380838785,0.9510105981806801,0.9663029158613851,0.9530618346473037,0.759517031370486,0.930451810340962,0.5306816621568595,0.7354747020305074
auth_glassy-001,auth_glassy-001__SAQr8zr,0.7903729712359545,6.0,54.333333333333336,0.7735489185942969,0.9865499381260903,0.8945241088768943,0.8104055467499096,0.9705872550357846,0.8175953701669857,0.9731263431724253,0.5056458661056497,0.7261552982916487
auth_glassy-001,auth_glassy-001__Z8vqddU,0.8243968760370016,6.0,54.666666666666664,0.8597760268515641,0.9850156135207425,0.9302410594515446,0.9658261502348388,0.958942769153461,0.8195913350809733,0.9507551165013167,0.5152295213418986,0.7376201558574395
auth_glassy-001,auth_glassy-001__qkLxH4W,0.8680009206453843,6.0,56.0,0.8973631824456169,0.9985522669782357,0.9493357802834566,0.9707049766797099,0.9559863055500685,0.8531695200215355,0.9933557783729952,0.6535000937572008,0.7357696400290866
auth_glassy-001,auth_glassy-001__rfLvLs9,0.8546883529876567,6.0,56.166666666666664,0.8886439420105257,0.998894770426534,0.960762308955254,0.9683164482622854,0.9699624992815244,0.8030469533940746,0.9999999999999963,0.5909959424241921,0.7370663235528957
auth_glassy-001,auth_glassy-001__uL5Lv6t,0.7882844647583878,6.0,53.833333333333336,0.7678895453291409,0.9706202286042114,0.8945266655337774,0.9653964564407729,0.9612550196372623,0.7850581648370677,0.970262039663386,0.44791368703259954,0.7139576402787652
dashboard_dense-001,dashboard_dense-001__6siictN,0.7125902115773662,6.0,102.83333333333333,0.8413596908992274,0.908574583261776,0.8046380163563995,0.8398012132328002,0.9171587469127056,0.7980391024674178,0.6708106690911211,0.42298470887681994,0.5341507468608214
dashboard_dense-001,dashboard_dense-001__7LtH4r2,0.7623504511513102,6.0,158.5,0.8491276435932309,0.9825883987703854,0.858254556767115,0.7100453608041684,0.964132154634579,0.7620693041759737,0.9374650517909427,0.5219211512375765,0.5253893677266571
dashboard_dense-001,dashboard_dense-001__9BNcnDk,0.761360701756618,6.0,159.33333333333334,0.9053570914918003,0.9763860476708723,0.8652445528252312,0.8771404418893484,0.9802457710532968,0.7242196429716613,0.9341947124529467,0.38345547277537945,0.550839696514227
dashboard_dense-001,dashboard_dense-001__dZrtanF,0.6678309459106274,6.0,87.16666666666667,0.8124580519182576,0.9070705279429051,0.7986115149655384,0.7280289471488325,0.9180750496407889,0.7560130535006521,0.5638958098281519,0.3807338552868423,0.4641980617162844
dashboard_dense-001,dashboard_dense-001__ipFJJSk,0.6726896522847211,6.0,98.66666666666667,0.8151833222052001,0.918147904434086,0.8275174520275493,0.7539046230841016,0.9320749726843264,0.7450072693976053,0.5986563487397657,0.3032724666945179,0.5470504308101323
dashboard_dense-001,dashboard_dense-001__jAaU5Wr,0.6923708108825979,6.0,90.66666666666667,0.7775212781939219,0.9189718984856329,0.8107114118015856,0.7519648874046937,0.9403119023265849,0.748762549533306,0.596483735141056,0.4446267606905053,0.540147805490379
dashboard_dense-001,dashboard_dense-001__jJ8qjbE,0.6998271484476755,6.0,99.5,0.8252907622194261,0.9021007157268676,0.7931319964642586,0.8342249457388676,0.9394933296086604,0.7373657468581043,0.6710207925371265,0.39784154559098855,0.5291782630330074
dashboard_dense-001,dashboard_dense-001__qxZA33c,0.7328392934855054,6.0,144.83333333333334,0.8129962899916188,0.9847231079459636,0.8201482532694192,0.7280562163284086,0.9705351173093485,0.7476230697993506,0.7820854634113233,0.4902908266155028,0.5441505854924461
dashboard_dense-001,dashboard_dense-001__usXDLkA,0.770792425476102,6.0,143.83333333333334,0.9223095056869789,0.9700550283123874,0.8682282910801281,0.8172692558996103,0.9652248292465657,0.7804985937123394,0.8241453826802191,0.4970936486200725,0.5435988839985458
dashboard_dense-001,dashboard_dense-001__znNU2A4,0.6977346825538459,6.0,97.66666666666667,0.8267668008255455,0.9136234793385217,0.7850357764355388,0.7755169930136113,0.9403847411378387,0.741417811409283,0.6371027450883678,0.4194929327391728,0.5535126004544237
docs_mono-001,docs_mono-001__4fj8vD4,0.5901163056013682,6.0,76.33333333333333,0.3525257528667614,0.8649117824166123,0.6842761579155155,0.9625720230767864,0.9506733656857035,0.658869731622516,0.32095402783357535,0.4629622354513405,0.4668263369565005
docs_mono-001,docs_mono-001__6wHEKJZ,0.7946429091422157,6.0,184.16666666666666,0.795475778850394,0.9916016102863456,0.8125473345535118,0.974790467926049,0.9499192388056624,0.8362358118620756,0.9033621666405293,0.6023972905256768,0.5667680700781508
docs_mono-001,docs_mono-001__UZj6XnS,0.7681706808453338,6.0,181.5,0.7664123659917258,0.98903411744076,0.8315018707125416,0.9320256106881529,0.9534291539823316,0.811006608151213,0.8702234690113572,0.5376961924376442,0.5359419903146058
docs_mono-001,docs_mono-001__Xzij4sn,0.7721550363312347,6.0,186.66666666666666,0.7986552904268859,0.9898246731005397,0.8200709964270841,0.9722094436025522,0.9501735744562931,0.7839492736692478,0.8965256175012705,0.5050388608936394,0.5577620529769808
