label,score,n_pages,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
empty,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
screenshot_embed,0.049999999999999996,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
