trial,task,mode,score,n_pages,n_matched_avg,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
auth_glassy-001__CLkSoXc,auth_glassy-001,v51,0.7976770677270899,6,54.0,0.9109877831600715,0.9985986468341991,0.6014992290512342,0.8135144293485909,0.9793232129841609,0.8689317410942401,0.9649983702887378,0.6356522646261898,0.5743304719170169
auth_glassy-001__CLkSoXc,auth_glassy-001,v52,0.8143764624378068,6,54.0,0.9172612421216982,0.9984687153294546,0.7087614932992685,0.8143172576878586,0.9766340411779875,0.85469321304892,0.9649983702887378,0.6356522646261898,0.5743304719170169
auth_glassy-001__EXjZKAz,auth_glassy-001,v51,0.8447189786973701,6,56.0,0.8544792363163571,0.9992247087719632,0.9169829155082421,0.8106354343350822,0.9763798591432239,0.8691523813295365,0.9987715582606825,0.6271936479073402,0.7315519482022105
auth_glassy-001__EXjZKAz,auth_glassy-001,v52,0.8474495946634213,6,56.0,0.8708774389609939,0.9987156921806001,0.914122676414014,0.8131968557981822,0.9745412866485011,0.8626477976112233,0.9987715582606825,0.6271936479073402,0.7315519482022105
auth_glassy-001__Ehkfcs6,auth_glassy-001,v51,0.8431399800621588,6,55.333333333333336,0.9164608959901064,0.9980761366566392,0.8732357013462689,0.8001340876960286,0.969954060734759,0.8695604641017992,0.9670019149657616,0.6177155127581259,0.7394002045070224
auth_glassy-001__Ehkfcs6,auth_glassy-001,v52,0.8438189712939833,6,55.333333333333336,0.9171234469409866,0.9972877381410221,0.8809227436644494,0.8009163531238132,0.9646516014468222,0.8574412241558883,0.9670019149657616,0.6177155127581259,0.7394002045070224
auth_glassy-001__M8zNKE6,auth_glassy-001,v51,0.8097545237673315,6,54.333333333333336,0.8097228909318085,0.9826062133575381,0.9278057655265602,0.9655955738477995,0.9546560130423406,0.82312162740164,0.9501153297033383,0.47236590450720267,0.7134468060885738
auth_glassy-001__M8zNKE6,auth_glassy-001,v52,0.8109426452288323,6,54.333333333333336,0.8267566128785648,0.9775175840478144,0.919364780495674,0.9691440884475266,0.9469876620640156,0.8071523533572811,0.9501153297033383,0.47236590450720267,0.7134468060885738
auth_glassy-001__PEMFUqo,auth_glassy-001,v51,0.8178612596825586,6,53.0,0.7876650709274493,0.9824258380838785,0.9510105981806801,0.9663029158613851,0.9530618346473037,0.807517842290133,0.930634995685843,0.5306816621568595,0.7339261295337048
auth_glassy-001__PEMFUqo,auth_glassy-001,v52,0.8202946059533116,6,53.0,0.8127524525245183,0.9753744705595704,0.9426155128411101,0.9651391920353593,0.9394409422165638,0.7974506800362962,0.930634995685843,0.5306816621568595,0.7339261295337048
auth_glassy-001__SAQr8zr,auth_glassy-001,v51,0.7946037792167225,6,54.333333333333336,0.7762674333720095,0.9865499381260903,0.8945241088768944,0.8104055467499096,0.9705872550357846,0.8454100505421068,0.9734482422395546,0.5056458661056497,0.7211843127803582
auth_glassy-001__SAQr8zr,auth_glassy-001,v52,0.7946486246759648,6,54.333333333333336,0.7924821533147318,0.9809360320690983,0.8876870117746636,0.8114295123447294,0.9682945961504826,0.8111392521871011,0.9734482422395546,0.5056458661056497,0.7211843127803582
auth_glassy-001__Z8vqddU,auth_glassy-001,v51,0.8318074799480554,6,54.666666666666664,0.8603718087109401,0.9850156135207425,0.9302410594515443,0.9658261502348388,0.958942769153461,0.849402099677269,0.9509517458230423,0.5152295213418986,0.7390802357375575
auth_glassy-001__Z8vqddU,auth_glassy-001,v52,0.8306535726705474,6,54.666666666666664,0.8672306337441319,0.9793670079387412,0.9166087305136532,0.9680999926898424,0.9500105211911117,0.8465351670620144,0.9509517458230423,0.5152295213418986,0.7390802357375575
auth_glassy-001__qkLxH4W,auth_glassy-001,v51,0.8771679399129316,6,56.0,0.8927550113846213,0.9985522669782357,0.9493357802834567,0.9707049766797099,0.9559863055500685,0.8587480111514648,0.9933590860430743,0.6535000937572008,0.7329912802443944
auth_glassy-001__qkLxH4W,auth_glassy-001,v52,0.8781380559233704,6,56.0,0.9019155404710664,0.9972160636420443,0.9514585100951299,0.972082272763139,0.9430666731373155,0.8350578400849624,0.9933590860430743,0.6535000937572008,0.7329912802443944
auth_glassy-001__rfLvLs9,auth_glassy-001,v51,0.8652679982379031,6,56.166666666666664,0.890256744741977,0.998894770426534,0.960762308955254,0.9683164482622854,0.9699624992815244,0.8308578089300346,0.9999999999999963,0.5909959424241921,0.7327820429199597
auth_glassy-001__rfLvLs9,auth_glassy-001,v52,0.8648385529991263,6,56.166666666666664,0.8967087965661374,0.9982514654786918,0.9547380279391856,0.9687992639707176,0.9637656620830733,0.8148545183848815,0.9999999999999963,0.5909959424241921,0.7327820429199597
auth_glassy-001__uL5Lv6t,auth_glassy-001,v51,0.7931542325293623,6,53.833333333333336,0.7681707860941054,0.9706202286042114,0.8945266655337774,0.9653964564407729,0.9612550196372623,0.8193533403854917,0.9706247096276508,0.44791368703259954,0.7119059221206809
auth_glassy-001__uL5Lv6t,auth_glassy-001,v52,0.7953469405468013,6,53.833333333333336,0.789131098966315,0.959751610867062,0.8919533603783599,0.9647758796150413,0.951237551957639,0.8100645538374479,0.9706247096276508,0.44791368703259954,0.7119059221206809
docs_mono-001__4fj8vD4,docs_mono-001,v51,0.5551970022286811,6,76.33333333333333,0.3596300641321449,0.8649117824166123,0.6842761579155154,0.9625720230767864,0.9506733656857035,0.6692086267091182,0.3230616739155647,0.4629622354513405,0.4673811130505214
docs_mono-001__4fj8vD4,docs_mono-001,v52,0.5587437611589802,6,76.33333333333333,0.38096117430280624,0.8240245032015477,0.7107950838182657,0.9543686612404011,0.9501362457353593,0.6734438690271082,0.3230616739155647,0.4629622354513405,0.4673811130505214
docs_mono-001__6wHEKJZ,docs_mono-001,v51,0.8037504409725712,6,184.16666666666666,0.795475778850394,0.9916016102863456,0.8125473345535118,0.974790467926049,0.9499192388056624,0.8362358118620756,0.9033621666405293,0.6023972905256768,0.5667680700781508
